"","Pinus","Quercus","Picea","Betula","Alnus","Tsuga","Cupress","Fagus","Ulmus","Abies","Fraxinus","Salix","Poaceae","Cyperaceae","Artemisia","ChenAm"
"0",0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.952047952047952,0.000999000999000999,1,0.993006993006993,0.000999000999000999,1,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999
"2",0.000999000999000999,0.347652347652348,0.00899100899100899,0.000999000999000999,0.000999000999000999,0.836163836163836,0.436563436563437,0.999000999000999,0.63036963036963,0.999000999000999,0.878121878121878,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999
"6",0.021978021978022,0.0529470529470529,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.993006993006993,0.864135864135864,1,0.994005994005994,0.15984015984016,0.917082917082917,0.999000999000999,0.027972027972028,0.000999000999000999,0.991008991008991,1
"10",1,0.951048951048951,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.845154845154845,1,1,1,0.99000999000999,1,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.025974025974026,1
"14",0.000999000999000999,0.000999000999000999,0.000999000999000999,0.113886113886114,0.000999000999000999,1,0.000999000999000999,0.853146853146853,0.653346653346653,0.137862137862138,0.0889110889110889,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.00599400599400599
