"","Pinus","Quercus","Picea","Betula","Alnus","Tsuga","Cupress","Fagus","Ulmus","Abies","Fraxinus","Salix","Poaceae","Cyperaceae","Artemisia","ChenAm"
"0",506277.07891094,197691.159252422,497047.474228135,289097.733160493,484829.780287123,479719.123550113,500074.337068124,57026.5263025146,112865.635669547,65028.2818841248,29603.0824990579,659452.612926221,564391.461932759,711666.862348854,677716.94327106,765304.168781761
"2",74306.0173252966,65629.1687793456,317067.054859461,147979.938040754,220370.187165009,183805.997438748,497734.614693412,59320.7165417125,8488.75293140603,141598.691807204,89049.3967273701,166739.906008839,266496.607739936,119200.865609146,161605.658902568,232069.663982698
"6",239500.154617909,158545.160271589,93280.9479404369,152650.241002376,111817.518827171,217485.441991373,158348.944336607,36584.6691117794,130008.117211169,228208.610597978,51741.8354499329,174366.830485921,376739.127463718,344075.18068744,60514.1411975871,542926.255484396
"10",147415.099344596,80753.2383858093,303390.753940665,237768.158900833,233790.252089974,913609.109922847,623462.712922733,484487.847269843,234364.79059682,175122.377149553,76539.9819120081,412863.134232218,333426.840534281,227041.971897529,323008.950095347,259460.924910441
"14",481103.169866893,297184.322876906,602786.385932903,647222.041611277,662224.931774235,738491.260634381,651849.114934014,387149.839969631,330942.943105827,353208.204372476,306220.407643271,555463.557176481,525316.535962017,588544.638078663,609877.825244974,792736.146127002
