,Pinus,Quercus,Picea,Betula,Alnus,Tsuga,Cupress,Fagus,Ulmus,Abies,Fraxinus,Salix,Poaceae,Cyperaceae,Artemisia,ChenAm,,
0,0.758686708,0.687587527,0.770436332,0.84370198,0.810970823,0.623512757,0.625299193,0.611414392,0.607803752,0.624847758,0.570864917,0.697040983,0.736263859,0.691486625,0.641204689,0.643829929,,
2,0.8887709,0.774516042,0.789899107,0.834012553,0.848478825,0.676654116,0.697069247,0.707086793,0.732381858,0.610123558,0.701970823,0.774231467,0.870181043,0.776277279,0.854011289,0.789594994,0.785900494,0.067078779
6,0.669710429,0.655369502,0.846749873,0.84081727,0.811988147,0.657039512,0.636658062,0.719180875,0.606871008,0.766892957,0.634284431,0.629504378,0.66674291,0.728185261,0.702406108,0.479055756,0.773778106,0.074746636
10,0.55238957,0.586483182,0.731234563,0.712998658,0.733613014,0.680587766,0.492895413,0.164386702,0.378129344,0.603390595,0.389626515,0.668642633,0.656813152,0.666635008,0.646800353,0.485347336,,
14,0.606741145,0.56110066,0.550292598,0.419261195,0.581947793,0.16597166,0.562335029,0.499324852,0.434309512,0.455257753,0.41179709,0.558523991,0.621145528,0.630159936,0.557156538,0.618644598,,
